,name,element_type,Round,Squad,Opponent,total_points_y,Min_last_5,Gls_last_5,Ast_last_5,PK_last_5,PKatt_last_5,Sh_last_5,SoT_last_5,CrdY_last_5,CrdR_last_5,Touches_last_5,Press_last_5,Tkl_last_5,Int_last_5,Blocks_last_5,xG_last_5,npxG_last_5,xA_last_5,SCA_last_5,GCA_last_5,Cmp_last_5,Att_last_5,Cmp%_last_5,PrgDist_last_5,Carries_last_5,PrgDist.1_last_5,Succ_last_5,Att.1_last_5,Min_total,Gls_total,Ast_total,PK_total,PKatt_total,Sh_total,SoT_total,CrdY_total,CrdR_total,Touches_total,Press_total,Tkl_total,Int_total,Blocks_total,xG_total,npxG_total,xA_total,SCA_total,GCA_total,Cmp_total,Att_total,Cmp%_total,PrgDist_total,Carries_total,PrgDist.1_total,Succ_total,Att.1_total,deep_over_5_opp,deep_allowed_over_5_opp,missed_over_5_opp,npxG_over_5_opp,npxGA_over_5_opp,ppda_att_over_5_opp,ppda_def_over_5_opp,ppda_allowed_att_over_5_opp,ppda_allowed_def_over_5_opp,deep_over_5,deep_allowed_over_5,missed_over_5,npxG_over_5,npxGA_over_5,ppda_att_over_5,ppda_def_over_5
853,Kieran Tierney,D,14,Arsenal,Everton,0,90.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.0,61.4,7.4,1.6,0.6,2.2,0.01999999999999978,0.019999999999999424,0.10000000000000017,2.4,0.0,40.2,54.6,73.53999999999986,232.4,37.4,100.6,0.8,1.2,450.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,307.0,37.0,8.0,3.0,11.0,0.10000000000000045,0.100000000000002,0.4999999999999993,12.0,0.0,201.0,273.0,367.70000000000067,1162.0,187.0,503.0,4.0,6.0,6.0,7.8,0.8,1.5599536000000005,1.3595767999999993,305.8,20.2,233.2,27.0,8.8,6.4,1.2,0.9878498000000002,1.2575127999999998,236.8,22.8
854,Kieran Tierney,D,15,Arsenal,Chelsea,4,90.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,63.4,6.6,1.4,1.0,1.6,0.01999999999999978,0.019999999999999424,0.1600000000000002,3.2,0.0,42.0,56.6,74.19999999999986,229.8,40.0,82.2,0.6,1.0,450.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,317.0,33.0,7.0,5.0,8.0,0.10000000000000045,0.100000000000002,0.7999999999999993,16.0,0.0,210.0,283.0,371.0000000000007,1149.0,200.0,411.0,3.0,5.0,6.8,5.2,0.8,2.1710070000000004,0.5353075999999989,222.6,25.6,305.6,17.2,10.2,4.4,1.6,0.9438730000000002,0.9975215999999996,220.2,22.2
855,Kieran Tierney,D,16,Arsenal,Brighton,6,90.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,60.8,5.2,1.0,0.6,1.6,0.01999999999999978,0.019999999999999424,0.20000000000000018,3.6,0.4,37.6,53.6,69.89999999999986,213.6,38.0,93.8,0.8,1.2,450.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,304.0,26.0,5.0,3.0,8.0,0.10000000000000045,0.100000000000002,0.9999999999999993,18.0,2.0,188.0,268.0,349.5000000000007,1068.0,190.0,469.0,4.0,6.0,7.4,6.2,1.6,1.3866398000000004,1.1321457999999995,189.2,21.2,257.0,20.2,9.0,4.6,1.4,0.9569090000000001,0.8947495999999996,226.8,19.8
981,Kurt Zouma,D,12,Chelsea,Everton,2,90.0,0.4,0.0,0.0,0.0,0.6,0.4,0.2,0.0,87.2,4.4,0.6,0.8,0.8,0.05999999999999994,0.05999999999999985,3.164135620181696e-16,0.6,0.0,72.6,78.4,92.07999999999986,436.8,59.6,189.4,0.0,0.2,450.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,436.0,22.0,3.0,4.0,4.0,0.3000000000000024,0.30000000000000415,8.326672684688674e-17,3.0,0.0,363.0,392.0,460.400000000001,2184.0,298.0,947.0,0.0,1.0,8.4,7.8,1.8,1.4837988000000004,1.6838267999999992,254.4,22.4,319.6,24.0,9.4,4.0,0.4,2.359139,0.5548367999999989,201.8,21.0
982,Kurt Zouma,D,13,Chelsea,Wolves,1,90.0,0.2,0.0,0.0,0.0,0.6,0.4,0.2,0.0,98.2,3.2,0.4,0.8,1.4,0.05999999999999994,0.05999999999999985,3.164135620181696e-16,0.8,0.0,82.2,89.6,91.57999999999987,505.2,65.6,240.8,0.4,0.4,450.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,491.0,16.0,2.0,4.0,7.0,0.3000000000000024,0.30000000000000415,8.326672684688674e-17,4.0,0.0,411.0,448.0,457.90000000000106,2526.0,328.0,1204.0,2.0,2.0,4.8,7.4,1.6,1.130880599999999,0.9662515999999994,288.6,18.4,230.0,21.6,8.2,4.2,0.6,2.314239,0.5654541999999989,181.2,21.4
983,Kurt Zouma,D,14,Chelsea,West Ham,6,90.0,0.2,0.0,0.0,0.0,1.0,0.4,0.2,0.0,90.2,3.8,0.8,0.8,1.8,0.07999999999999993,0.07999999999999985,3.164135620181696e-16,0.8,0.0,73.4,80.4,91.29999999999988,467.4,59.8,221.6,0.4,0.4,450.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,451.0,19.0,4.0,4.0,9.0,0.40000000000000235,0.40000000000000413,8.326672684688674e-17,4.0,0.0,367.0,402.0,456.500000000001,2337.0,299.0,1108.0,2.0,2.0,5.4,6.6,1.2,1.4900923999999993,1.2010299999999998,293.4,18.4,194.8,18.2,6.6,4.0,0.8,2.0525390000000003,0.5534173999999988,197.6,25.2
984,Kurt Zouma,D,15,Chelsea,Arsenal,1,90.0,0.2,0.0,0.0,0.0,0.8,0.4,0.2,0.0,81.8,4.0,1.0,1.2,1.4,0.05999999999999994,0.05999999999999985,3.164135620181696e-16,0.6,0.0,64.6,72.0,90.15999999999988,394.4,54.4,181.0,0.4,0.4,450.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,409.0,20.0,5.0,6.0,7.0,0.3000000000000024,0.30000000000000415,8.326672684688674e-17,3.0,0.0,323.0,360.0,450.80000000000103,1972.0,272.0,905.0,2.0,2.0,10.2,4.4,1.6,0.9438730000000002,0.9975215999999996,220.2,22.2,276.0,16.4,6.8,5.2,0.8,2.1710070000000004,0.5353075999999989,222.6,25.6
118,Kyle Bartley,D,11,West Brom,Crystal Palace,0,54.0,0.0,0.0,0.0,0.0,0.8,0.4,0.2,0.0,28.4,3.6,0.2,0.2,1.4,0.10000000000000017,0.09999999999999983,0.0,0.6,0.0,17.4,22.4,44.41999999999983,106.0,14.6,30.4,0.0,0.0,270.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,142.0,18.0,1.0,1.0,7.0,0.5000000000000007,0.5000000000000007,-4.163336342344337e-16,3.0,0.0,87.0,112.0,222.09999999999997,530.0,73.0,152.0,0.0,0.0,8.0,6.6,1.4,1.3466300000000009,1.2564325999999988,263.8,14.2,246.2,30.2,4.2,8.6,1.0,0.7465553999999999,1.8148313999999992,246.0,24.2
906,Kyle Walker,D,13,Manchester City,West Brom,1,90.0,0.2,0.2,0.0,0.0,0.4,0.2,0.2,0.0,89.2,13.2,1.4,1.0,1.6,0.0,0.0,0.02000000000000026,1.4,0.6,70.4,82.2,85.49999999999983,416.8,62.6,207.0,2.0,2.8,450.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,446.0,66.0,7.0,5.0,8.0,2.220446049250313e-16,1.9984014443252818e-15,0.09999999999999964,7.0,3.0,352.0,411.0,427.5000000000007,2084.0,313.0,1035.0,10.0,14.0,5.0,10.8,1.8,0.8189724,1.8991205999999994,251.6,20.4,224.4,19.6,12.6,2.2,0.6,2.0593839999999997,0.4540645999999988,188.0,20.8
907,Kyle Walker,D,14,Manchester City,Southampton,8,75.2,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.0,71.2,10.0,1.0,0.8,1.4,0.0,0.0,0.02000000000000026,2.0,0.6,56.8,65.4,86.59999999999982,319.8,50.6,177.0,1.4,1.6,376.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,356.0,50.0,5.0,4.0,7.0,2.220446049250313e-16,1.9984014443252818e-15,0.09999999999999964,10.0,3.0,284.0,327.0,433.0000000000007,1599.0,253.0,885.0,7.0,8.0,6.6,6.0,1.2,1.1113623999999995,1.240619999999999,202.2,23.4,317.6,25.0,12.4,3.2,0.2,1.957932,0.4192305999999989,218.0,20.6
908,Kyle Walker-Peters,D,11,Southampton,Brighton,5,89.8,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,71.0,12.4,2.6,1.8,3.2,0.0,0.0,2.609024107869118e-16,1.4,0.6,48.4,57.0,83.19999999999979,295.4,43.4,137.8,2.0,2.8,449.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,355.0,62.0,13.0,9.0,16.0,2.220446049250313e-16,1.9984014443252818e-15,-3.608224830031759e-16,7.0,3.0,242.0,285.0,416.0000000000007,1477.0,217.0,689.0,10.0,14.0,6.8,3.2,1.0,0.9493490000000003,0.7760013999999998,236.4,20.0,260.4,21.0,4.4,5.0,1.4,0.8615901999999995,1.240065399999999,243.6,25.4
909,Kyle Walker-Peters,D,12,Southampton,Sheffield Utd,6,89.8,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,68.8,12.0,2.8,1.6,3.2,0.0,0.0,2.609024107869118e-16,1.6,0.8,43.6,54.0,79.39999999999979,263.8,42.2,159.0,2.2,3.0,449.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,344.0,60.0,14.0,8.0,16.0,2.220446049250313e-16,1.9984014443252818e-15,-3.608224830031759e-16,8.0,4.0,218.0,270.0,397.0000000000007,1319.0,211.0,795.0,11.0,15.0,5.8,8.8,1.8,1.1560135999999999,1.9987379999999988,343.0,18.4,176.0,15.6,4.2,5.6,1.6,0.8306559999999996,1.437172599999999,214.6,26.8
910,Kyle Walker-Peters,D,13,Southampton,Arsenal,2,89.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,74.4,11.2,2.8,1.6,2.0,0.0,0.0,2.609024107869118e-16,1.4,0.4,51.4,61.8,82.9999999999998,292.8,48.8,180.8,2.4,2.8,449.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,372.0,56.0,14.0,8.0,10.0,2.220446049250313e-16,1.9984014443252818e-15,-3.608224830031759e-16,7.0,2.0,257.0,309.0,415.0000000000007,1464.0,244.0,904.0,12.0,14.0,8.8,7.4,1.6,1.1336968000000003,1.4320267999999996,202.2,21.8,274.0,20.0,5.2,4.8,1.0,1.0859359999999996,1.143519599999999,200.6,26.0
911,Kyle Walker-Peters,D,14,Southampton,Manchester City,2,89.8,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,76.8,9.4,2.4,1.4,2.2,0.0,0.0,2.609024107869118e-16,1.4,0.2,55.6,66.0,83.8199999999998,302.2,53.0,186.8,2.4,2.6,449.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,384.0,47.0,12.0,7.0,11.0,2.220446049250313e-16,1.9984014443252818e-15,-3.608224830031759e-16,7.0,1.0,278.0,330.0,419.1000000000007,1511.0,265.0,934.0,12.0,13.0,12.4,3.2,0.2,1.957932,0.4192305999999989,218.0,20.6,391.4,18.6,6.6,6.0,1.2,1.1113623999999995,1.240619999999999,202.2,23.4
912,Kyle Walker-Peters,D,15,Southampton,Fulham,8,89.8,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,75.8,11.0,1.6,1.4,2.2,0.0,0.0,2.609024107869118e-16,1.6,0.2,54.8,65.8,82.8199999999998,264.6,51.6,186.4,2.0,2.4,449.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,379.0,55.0,8.0,7.0,11.0,2.220446049250313e-16,1.9984014443252818e-15,-3.608224830031759e-16,8.0,1.0,274.0,329.0,414.1000000000007,1323.0,258.0,932.0,10.0,12.0,4.2,8.6,1.0,1.0798968000000007,1.1624139999999994,359.0,18.4,178.8,22.8,6.0,6.6,1.2,1.0130567999999998,1.156859999999999,223.2,25.2
913,Kyle Walker-Peters,D,16,Southampton,West Ham,5,90.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,71.0,15.0,2.4,1.4,2.2,0.0,0.0,2.609024107869118e-16,1.2,0.2,49.2,60.4,79.65999999999981,207.0,47.8,195.8,2.4,3.4,450.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,355.0,75.0,12.0,7.0,11.0,2.220446049250313e-16,1.9984014443252818e-15,-3.608224830031759e-16,6.0,1.0,246.0,302.0,398.30000000000075,1035.0,239.0,979.0,12.0,17.0,6.0,6.4,2.0,1.2862271999999992,1.5201031999999997,312.8,17.8,209.0,20.4,6.0,6.0,0.6,0.9372419999999998,0.818136999999999,197.4,26.8
245,Leander Dendoncker,M,11,Wolves,Liverpool,2,90.0,0.0,0.0,0.0,0.0,1.4,0.4,0.2,0.0,44.8,19.0,1.8,0.4,2.2,0.2400000000000002,0.23999999999999969,0.019999999999999962,1.6,0.2,31.4,36.2,85.39999999999998,93.0,20.8,42.8,0.4,0.8,450.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,224.0,95.0,9.0,2.0,11.0,1.200000000000002,1.2000000000000006,0.09999999999999978,8.0,1.0,157.0,181.0,426.9999999999996,465.0,104.0,214.0,2.0,4.0,7.4,4.6,0.8,1.5369941999999999,0.899662399999999,227.8,19.6,362.2,20.6,6.0,6.2,0.8,1.2537251999999992,0.7571235999999997,296.4,20.8
246,Leander Dendoncker,M,12,Wolves,Aston Villa,2,90.0,0.0,0.0,0.0,0.0,2.2,0.6,0.2,0.0,42.4,19.2,1.8,0.4,1.8,0.2800000000000002,0.2799999999999997,0.019999999999999962,1.2,0.2,27.4,32.4,84.67999999999998,79.4,18.8,40.0,0.4,1.0,450.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,212.0,96.0,9.0,2.0,9.0,1.400000000000002,1.4000000000000006,0.09999999999999978,6.0,1.0,137.0,162.0,423.39999999999964,397.0,94.0,200.0,2.0,5.0,8.8,3.8,0.8,1.5397964000000004,0.9829439999999996,201.0,19.6,202.2,21.2,5.2,7.2,1.4,1.1735505999999991,1.0252945999999996,330.2,19.8
247,Leander Dendoncker,M,13,Wolves,Chelsea,1,87.8,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.0,40.2,19.4,1.2,0.6,1.8,0.3000000000000002,0.2999999999999997,0.019999999999999962,0.8,0.2,25.6,30.8,83.19999999999997,79.8,17.4,32.6,0.4,0.8,439.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,0.0,201.0,97.0,6.0,3.0,9.0,1.500000000000002,1.5000000000000007,0.09999999999999978,4.0,1.0,128.0,154.0,415.99999999999966,399.0,87.0,163.0,2.0,4.0,8.2,4.2,0.6,2.314239,0.5654541999999989,181.2,21.4,375.6,17.0,4.8,7.4,1.6,1.130880599999999,0.9662515999999994,288.6,18.4
870,Leandro Trossard,M,13,Brighton,Fulham,3,45.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,19.2,5.2,0.4,0.0,0.6,0.0599999999999998,0.05999999999999944,0.020000000000000257,0.8,0.0,10.2,13.2,63.01999999999983,60.8,14.0,41.4,0.2,1.2,225.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,96.0,26.0,2.0,0.0,3.0,0.3000000000000007,0.30000000000000204,0.09999999999999953,4.0,0.0,51.0,66.0,315.10000000000053,304.0,70.0,207.0,1.0,6.0,5.2,9.6,1.6,1.0971448000000006,1.7040939999999996,372.6,17.8,184.6,21.8,7.4,5.0,1.4,1.1879488000000005,0.9207023999999999,237.4,22.4
871,Leandro Trossard,M,14,Brighton,Sheffield Utd,3,45.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,20.6,6.4,0.8,0.8,0.6,0.019999999999999796,0.019999999999999442,0.060000000000000255,1.0,0.0,9.2,14.2,58.43999999999983,39.0,14.2,37.8,0.2,0.6,225.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,103.0,32.0,4.0,4.0,3.0,0.1000000000000007,0.10000000000000203,0.29999999999999954,5.0,0.0,46.0,71.0,292.2000000000005,195.0,71.0,189.0,1.0,3.0,6.4,6.8,2.0,1.1605843999999998,1.8574879999999987,295.6,21.8,157.4,17.6,5.0,5.6,1.4,0.9623960000000004,1.0562117999999998,233.8,23.4
