,Name,Venue,Round,Squad,Opponent,Min,xG,xA,Touches
0,Max Aarons,Home,Matchweek 1,Norwich City,Liverpool,90,0.0,0.0,79
1,Max Aarons,Away,Matchweek 2,Norwich City,Manchester City,90,0.0,0.0,45
2,Max Aarons,Home,Matchweek 3,Norwich City,Leicester City,90,0.0,0.3,63
3,Max Aarons,Away,Matchweek 4,Norwich City,Arsenal,90,0.1,0.1,55
4,Max Aarons,Home,Matchweek 5,Norwich City,Watford,90,0.0,0.0,59
5,Max Aarons,Away,Matchweek 6,Norwich City,Everton,90,0.0,0.0,64
6,Max Aarons,Away,Matchweek 7,Norwich City,Burnley,90,0.1,0.1,52
7,Max Aarons,Home,Matchweek 8,Norwich City,Brighton,90,0.0,0.2,39
8,Max Aarons,Away,Matchweek 9,Norwich City,Chelsea,90,0.0,0.0,44
9,Max Aarons,Home,Matchweek 10,Norwich City,Leeds United,90,0.1,0.0,32
10,Max Aarons,Away,Matchweek 11,Norwich City,Brentford,90,0.0,0.0,51
11,Max Aarons,Home,Matchweek 12,Norwich City,Southampton,90,0.0,0.1,53
12,Max Aarons,Home,Matchweek 13,Norwich City,Wolves,90,0.3,0.0,54
13,Max Aarons,Away,Matchweek 14,Norwich City,Newcastle Utd,90,0.0,0.1,94
14,Max Aarons,Away,Matchweek 15,Norwich City,Tottenham,90,0.0,0.0,68
15,Max Aarons,Home,Matchweek 16,Norwich City,Manchester Utd,90,0.0,0.0,70
16,Max Aarons,Home,Matchweek 17,Norwich City,Aston Villa,90,0.0,0.0,85
17,Max Aarons,Home,Matchweek 19,Norwich City,Arsenal,90,0.0,0.0,47
18,Max Aarons,Away,Matchweek 18,Norwich City,West Ham,90,0.0,0.0,49
19,Max Aarons,Home,Matchweek 22,Norwich City,Everton,79,0.0,0.0,46
20,Max Aarons,Away,Matchweek 23,Norwich City,Watford,90,0.0,0.0,58
21,Max Aarons,Home,Matchweek 24,Norwich City,Crystal Palace,90,0.0,0.0,45
22,Max Aarons,Home,Matchweek 25,Norwich City,Manchester City,62,0.1,0.0,37
23,Max Aarons,Away,Matchweek 26,Norwich City,Liverpool,90,0.0,0.0,41
24,Max Aarons,Away,Matchweek 27,Norwich City,Southampton,90,0.0,0.0,62
25,Max Aarons,Home,Matchweek 28,Norwich City,Brentford,10,0.0,0.0,24
26,Max Aarons,Home,Matchweek 30,Norwich City,Chelsea,90,0.0,0.0,66
27,Max Aarons,Away,Matchweek 29,Norwich City,Leeds United,87,0.0,0.0,74
28,Max Aarons,Home,Matchweek 32,Norwich City,Burnley,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
29,Max Aarons,Away,Matchweek 33,Norwich City,Manchester Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
30,Max Aarons,Home,Matchweek 34,Norwich City,Newcastle Utd,33,0.0,0.1,27
31,Max Aarons,Away,Matchweek 35,Norwich City,Aston Villa,90,0.0,0.1,78
32,Max Aarons,Home,Matchweek 36,Norwich City,West Ham,90,0.0,0.0,49
33,Max Aarons,Away,Matchweek 21,Norwich City,Leicester City,90,0.0,0.1,56
34,Max Aarons,Away,Matchweek 37,Norwich City,Wolves,90,0.0,0.1,26
35,Max Aarons,Home,Matchweek 38,Norwich City,Tottenham,90,0.0,0.0,62
36,Che Adams,Away,Matchweek 1,Southampton,Everton,90,0.0,0.4,37
37,Che Adams,Home,Matchweek 2,Southampton,Manchester Utd,90,0.3,0.4,37
38,Che Adams,Away,Matchweek 3,Southampton,Newcastle Utd,70,0.1,0.1,25
39,Che Adams,Home,Matchweek 4,Southampton,West Ham,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
40,Che Adams,Away,Matchweek 5,Southampton,Manchester City,67,0.1,0.0,20
41,Che Adams,Home,Matchweek 6,Southampton,Wolves,63,0.2,0.1,20
42,Che Adams,Away,Matchweek 7,Southampton,Chelsea,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
43,Che Adams,Home,Matchweek 9,Southampton,Burnley,12,0.0,0.0,8
44,Che Adams,Away,Matchweek 10,Southampton,Watford,90,0.7,0.1,33
45,Che Adams,Home,Matchweek 11,Southampton,Aston Villa,90,0.1,0.1,37
46,Che Adams,Away,Matchweek 12,Southampton,Norwich City,61,0.3,0.1,21
47,Che Adams,Away,Matchweek 13,Southampton,Liverpool,45,0.0,0.0,21
48,Che Adams,Home,Matchweek 14,Southampton,Leicester City,90,0.5,0.0,29
49,Che Adams,Home,Matchweek 15,Southampton,Brighton,90,0.2,0.1,33
50,Che Adams,Away,Matchweek 19,Southampton,West Ham,10,0.0,0.0,7
51,Che Adams,Home,Matchweek 18,Southampton,Brentford,26,0.3,0.0,9
52,Che Adams,Away,Matchweek 22,Southampton,Wolves,45,0.1,0.0,15
53,Che Adams,Home,Matchweek 23,Southampton,Manchester City,90,0.0,0.0,36
54,Che Adams,Away,Matchweek 24,Southampton,Tottenham,87,0.7,0.0,20
55,Che Adams,Away,Matchweek 25,Southampton,Manchester Utd,90,0.1,0.0,26
56,Che Adams,Home,Matchweek 26,Southampton,Everton,89,0.4,0.2,42
57,Che Adams,Home,Matchweek 27,Southampton,Norwich City,82,1.1,0.1,26
58,Che Adams,Away,Matchweek 28,Southampton,Aston Villa,90,0.4,0.0,29
59,Che Adams,Home,Matchweek 21,Southampton,Newcastle Utd,90,0.1,0.2,32
60,Che Adams,Home,Matchweek 29,Southampton,Watford,90,0.1,0.3,32
61,Che Adams,Away,Matchweek 31,Southampton,Leeds United,86,0.3,0.3,46
62,Che Adams,Home,Matchweek 32,Southampton,Chelsea,90,0.5,0.0,34
63,Che Adams,Home,Matchweek 33,Southampton,Arsenal,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
64,Che Adams,Away,Matchweek 30,Southampton,Burnley,25,0.5,0.0,11
65,Che Adams,Away,Matchweek 34,Southampton,Brighton,90,0.0,0.1,40
66,Che Adams,Home,Matchweek 35,Southampton,Crystal Palace,64,0.1,0.0,25
67,Che Adams,Away,Matchweek 36,Southampton,Brentford,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
68,Che Adams,Home,Matchweek 37,Southampton,Liverpool,9,0.0,0.0,3
69,Che Adams,Away,Matchweek 38,Southampton,Leicester City,28,0.1,0.0,12
70,Rayan Aït Nouri,Away,Matchweek 1,Wolves,Leicester City,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
71,Rayan Aït Nouri,Home,Matchweek 2,Wolves,Tottenham,7,0.0,0.0,4
72,Rayan Aït Nouri,Home,Matchweek 3,Wolves,Manchester Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
73,Rayan Aït Nouri,Away,Matchweek 4,Wolves,Watford,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
74,Rayan Aït Nouri,Home,Matchweek 5,Wolves,Brentford,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
75,Rayan Aït Nouri,Home,Matchweek 7,Wolves,Newcastle Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
76,Rayan Aït Nouri,Away,Matchweek 8,Wolves,Aston Villa,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
77,Rayan Aït Nouri,Away,Matchweek 9,Wolves,Leeds United,82,0.1,0.0,54
78,Rayan Aït Nouri,Home,Matchweek 10,Wolves,Everton,90,0.0,0.1,81
79,Rayan Aït Nouri,Away,Matchweek 11,Wolves,Crystal Palace,90,0.0,0.0,61
80,Rayan Aït Nouri,Home,Matchweek 12,Wolves,West Ham,90,0.0,0.4,70
81,Rayan Aït Nouri,Away,Matchweek 13,Wolves,Norwich City,90,0.0,0.1,79
82,Rayan Aït Nouri,Home,Matchweek 14,Wolves,Burnley,90,0.1,0.0,83
83,Rayan Aït Nouri,Home,Matchweek 15,Wolves,Liverpool,89,0.0,0.0,65
84,Rayan Aït Nouri,Away,Matchweek 16,Wolves,Manchester City,90,0.0,0.0,60
85,Rayan Aït Nouri,Away,Matchweek 21,Wolves,Manchester Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
86,Rayan Aït Nouri,Home,Matchweek 22,Wolves,Southampton,90,0.0,0.4,48
87,Rayan Aït Nouri,Away,Matchweek 23,Wolves,Brentford,90,0.0,0.0,63
88,Rayan Aït Nouri,Home,Matchweek 24,Wolves,Arsenal,28,0.0,0.0,18
89,Rayan Aït Nouri,Away,Matchweek 25,Wolves,Tottenham,90,0.0,0.0,59
90,Rayan Aït Nouri,Home,Matchweek 26,Wolves,Leicester City,87,0.1,0.0,49
91,Rayan Aït Nouri,Away,Matchweek 20,Wolves,Arsenal,90,0.0,0.1,55
92,Rayan Aït Nouri,Away,Matchweek 27,Wolves,West Ham,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
93,Rayan Aït Nouri,Home,Matchweek 28,Wolves,Crystal Palace,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
94,Rayan Aït Nouri,Home,Matchweek 19,Wolves,Watford,90,0.0,0.1,71
95,Rayan Aït Nouri,Away,Matchweek 29,Wolves,Everton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
96,Rayan Aït Nouri,Home,Matchweek 30,Wolves,Leeds United,90,0.0,0.0,51
97,Rayan Aït Nouri,Home,Matchweek 31,Wolves,Aston Villa,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
98,Rayan Aït Nouri,Away,Matchweek 32,Wolves,Newcastle Utd,5,0.0,0.0,7
99,Rayan Aït Nouri,Away,Matchweek 34,Wolves,Burnley,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
100,Rayan Aït Nouri,Home,Matchweek 35,Wolves,Brighton,90,0.0,0.0,61
101,Rayan Aït Nouri,Away,Matchweek 36,Wolves,Chelsea,90,0.2,0.0,55
102,Rayan Aït Nouri,Home,Matchweek 33,Wolves,Manchester City,90,0.0,0.1,52
103,Rayan Aït Nouri,Home,Matchweek 37,Wolves,Norwich City,90,0.1,0.0,68
104,Rayan Aït Nouri,Away,Matchweek 38,Wolves,Liverpool,90,0.0,0.0,67
105,Kristoffer Ajer,Home,Matchweek 1,Brentford,Arsenal,70,0.0,0.3,35
106,Kristoffer Ajer,Away,Matchweek 2,Brentford,Crystal Palace,90,0.1,0.0,48
107,Kristoffer Ajer,Away,Matchweek 3,Brentford,Aston Villa,90,0.0,0.0,50
108,Kristoffer Ajer,Home,Matchweek 4,Brentford,Brighton,90,0.0,0.0,52
109,Kristoffer Ajer,Away,Matchweek 5,Brentford,Wolves,90,0.0,0.0,40
110,Kristoffer Ajer,Home,Matchweek 6,Brentford,Liverpool,90,0.0,0.0,33
111,Kristoffer Ajer,Home,Matchweek 8,Brentford,Chelsea,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
112,Kristoffer Ajer,Home,Matchweek 9,Brentford,Leicester City,45,0.1,0.0,31
113,Kristoffer Ajer,Home,Matchweek 21,Brentford,Aston Villa,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
114,Kristoffer Ajer,Away,Matchweek 18,Brentford,Southampton,90,0.0,0.0,68
115,Kristoffer Ajer,Away,Matchweek 22,Brentford,Liverpool,90,0.0,0.0,42
116,Kristoffer Ajer,Home,Matchweek 17,Brentford,Manchester Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
117,Kristoffer Ajer,Home,Matchweek 23,Brentford,Wolves,90,0.0,0.3,71
118,Kristoffer Ajer,Away,Matchweek 24,Brentford,Manchester City,90,0.0,0.0,33
119,Kristoffer Ajer,Home,Matchweek 25,Brentford,Crystal Palace,90,0.0,0.0,53
120,Kristoffer Ajer,Away,Matchweek 26,Brentford,Arsenal,90,0.0,0.0,60
121,Kristoffer Ajer,Home,Matchweek 27,Brentford,Newcastle Utd,71,0.0,0.0,25
122,Kristoffer Ajer,Away,Matchweek 28,Brentford,Norwich City,74,0.0,0.2,33
123,Kristoffer Ajer,Home,Matchweek 29,Brentford,Burnley,90,0.0,0.0,59
124,Kristoffer Ajer,Away,Matchweek 30,Brentford,Leicester City,65,0.0,0.2,44
125,Kristoffer Ajer,Away,Matchweek 31,Brentford,Chelsea,90,0.2,0.0,44
126,Kristoffer Ajer,Home,Matchweek 32,Brentford,West Ham,82,0.0,0.0,42
127,Kristoffer Ajer,Away,Matchweek 33,Brentford,Watford,90,0.0,0.2,60
128,Kristoffer Ajer,Away,Matchweek 35,Brentford,Manchester Utd,90,0.0,0.0,43
129,Kristoffer Ajer,Home,Matchweek 36,Brentford,Southampton,90,0.4,0.2,40
130,Kristoffer Ajer,Away,Matchweek 37,Brentford,Everton,58,0.0,0.0,53
131,Kristoffer Ajer,Home,Matchweek 38,Brentford,Leeds United,90,0.0,0.0,49
132,Nathan Aké,Away,Matchweek 1,Manchester City,Tottenham,90,0.2,0.0,68
133,Nathan Aké,Home,Matchweek 2,Manchester City,Norwich City,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
134,Nathan Aké,Home,Matchweek 3,Manchester City,Arsenal,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
135,Nathan Aké,Away,Matchweek 4,Manchester City,Leicester City,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
136,Nathan Aké,Home,Matchweek 5,Manchester City,Southampton,90,0.0,0.0,70
137,Nathan Aké,Away,Matchweek 6,Manchester City,Chelsea,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
138,Nathan Aké,Away,Matchweek 7,Manchester City,Liverpool,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
139,Nathan Aké,Home,Matchweek 8,Manchester City,Burnley,90,0.0,0.0,106
140,Nathan Aké,Away,Matchweek 9,Manchester City,Brighton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
141,Nathan Aké,Home,Matchweek 10,Manchester City,Crystal Palace,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
142,Nathan Aké,Away,Matchweek 11,Manchester City,Manchester Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
143,Nathan Aké,Home,Matchweek 12,Manchester City,Everton,15,0.0,0.0,20
144,Nathan Aké,Home,Matchweek 13,Manchester City,West Ham,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
145,Nathan Aké,Away,Matchweek 14,Manchester City,Aston Villa,90,0.0,0.0,63
146,Nathan Aké,Away,Matchweek 15,Manchester City,Watford,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
147,Nathan Aké,Home,Matchweek 16,Manchester City,Wolves,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
148,Nathan Aké,Home,Matchweek 17,Manchester City,Leeds United,26,0.1,0.0,39
149,Nathan Aké,Away,Matchweek 18,Manchester City,Newcastle Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
150,Nathan Aké,Home,Matchweek 19,Manchester City,Leicester City,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
151,Nathan Aké,Away,Matchweek 20,Manchester City,Brentford,90,0.0,0.0,110
152,Nathan Aké,Away,Matchweek 21,Manchester City,Arsenal,90,0.0,0.0,75
153,Nathan Aké,Away,Matchweek 23,Manchester City,Southampton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
154,Nathan Aké,Home,Matchweek 24,Manchester City,Brentford,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
155,Nathan Aké,Away,Matchweek 25,Manchester City,Norwich City,90,0.5,0.5,101
156,Nathan Aké,Home,Matchweek 26,Manchester City,Tottenham,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
157,Nathan Aké,Away,Matchweek 27,Manchester City,Everton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
158,Nathan Aké,Away,Matchweek 29,Manchester City,Crystal Palace,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
159,Nathan Aké,Away,Matchweek 31,Manchester City,Burnley,90,0.0,0.0,120
160,Nathan Aké,Home,Matchweek 32,Manchester City,Liverpool,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
161,Nathan Aké,Home,Matchweek 30,Manchester City,Brighton,45,0.0,0.0,45
162,Nathan Aké,Home,Matchweek 34,Manchester City,Watford,28,0.0,0.0,31
163,Nathan Aké,Away,Matchweek 35,Manchester City,Leeds United,59,0.4,0.0,57
164,Nathan Aké,Home,Matchweek 36,Manchester City,Newcastle Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
165,Nathan Aké,Away,Matchweek 33,Manchester City,Wolves,30,0.0,0.0,31
166,Nathan Aké,Away,Matchweek 37,Manchester City,West Ham,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
167,Nathan Aké,Home,Matchweek 38,Manchester City,Aston Villa,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
168,Marc Albrighton,Home,Matchweek 1,Leicester City,Wolves,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
169,Marc Albrighton,Away,Matchweek 2,Leicester City,West Ham,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
170,Marc Albrighton,Away,Matchweek 3,Leicester City,Norwich City,90,0.0,0.0,48
171,Marc Albrighton,Home,Matchweek 4,Leicester City,Manchester City,90,0.0,0.2,33
172,Marc Albrighton,Away,Matchweek 5,Leicester City,Brighton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
173,Marc Albrighton,Home,Matchweek 6,Leicester City,Burnley,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
174,Marc Albrighton,Away,Matchweek 7,Leicester City,Crystal Palace,11,0.0,0.0,6
175,Marc Albrighton,Home,Matchweek 8,Leicester City,Manchester Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
176,Marc Albrighton,Home,Matchweek 12,Leicester City,Chelsea,90,0.0,0.0,59
177,Marc Albrighton,Home,Matchweek 13,Leicester City,Watford,16,0.0,0.0,14
178,Marc Albrighton,Away,Matchweek 14,Leicester City,Southampton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
179,Marc Albrighton,Away,Matchweek 15,Leicester City,Aston Villa,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
180,Marc Albrighton,Home,Matchweek 16,Leicester City,Newcastle Utd,20,0.0,0.0,14
181,Marc Albrighton,Away,Matchweek 19,Leicester City,Manchester City,90,0.4,0.0,32
182,Marc Albrighton,Home,Matchweek 20,Leicester City,Liverpool,23,0.0,0.0,12
183,Marc Albrighton,Home,Matchweek 17,Leicester City,Tottenham,90,0.0,0.0,48
184,Marc Albrighton,Home,Matchweek 23,Leicester City,Brighton,27,0.0,0.0,11
185,Marc Albrighton,Away,Matchweek 24,Leicester City,Liverpool,90,0.0,0.0,45
186,Marc Albrighton,Home,Matchweek 25,Leicester City,West Ham,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
187,Marc Albrighton,Away,Matchweek 26,Leicester City,Wolves,90,0.0,0.8,60
188,Marc Albrighton,Away,Matchweek 22,Leicester City,Burnley,90,0.0,0.0,58
189,Marc Albrighton,Home,Matchweek 28,Leicester City,Leeds United,90,0.0,0.1,69
190,Marc Albrighton,Away,Matchweek 29,Leicester City,Arsenal,90,0.1,0.1,55
191,Marc Albrighton,Away,Matchweek 31,Leicester City,Manchester Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
192,Marc Albrighton,Home,Matchweek 32,Leicester City,Crystal Palace,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
193,Marc Albrighton,Away,Matchweek 33,Leicester City,Newcastle Utd,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
194,Marc Albrighton,Away,Matchweek 18,Leicester City,Everton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
195,Marc Albrighton,Home,Matchweek 34,Leicester City,Aston Villa,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
196,Marc Albrighton,Away,Matchweek 35,Leicester City,Tottenham,90,0.0,0.0,104
197,Marc Albrighton,Home,Matchweek 36,Leicester City,Everton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
198,Marc Albrighton,Home,Matchweek 21,Leicester City,Norwich City,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
199,Marc Albrighton,Away,Matchweek 37,Leicester City,Watford,45,0.0,0.4,20
200,Marc Albrighton,Away,Matchweek 27,Leicester City,Chelsea,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
201,Marc Albrighton,Home,Matchweek 38,Leicester City,Southampton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
202,Thiago Alcántara,Home,Matchweek 2,Liverpool,Burnley,10,0.0,0.0,17
203,Thiago Alcántara,Home,Matchweek 3,Liverpool,Chelsea,17,0.0,0.0,21
204,Thiago Alcántara,Away,Matchweek 4,Liverpool,Leeds United,89,0.0,0.3,72
205,Thiago Alcántara,Home,Matchweek 5,Liverpool,Crystal Palace,61,0.3,0.0,54
206,Thiago Alcántara,Away,Matchweek 11,Liverpool,West Ham,23,0.0,0.0,45
207,Thiago Alcántara,Home,Matchweek 12,Liverpool,Arsenal,83,0.2,0.3,89
208,Thiago Alcántara,Home,Matchweek 13,Liverpool,Southampton,58,0.1,0.0,59
209,Thiago Alcántara,Away,Matchweek 14,Liverpool,Everton,74,0.1,0.0,62
210,Thiago Alcántara,Away,Matchweek 15,Liverpool,Wolves,90,0.6,0.1,104
211,Thiago Alcántara,Home,Matchweek 16,Liverpool,Aston Villa,82,0.0,0.1,94
212,Thiago Alcántara,Home,Matchweek 17,Liverpool,Newcastle Utd,89,0.0,0.0,100
213,Thiago Alcántara,Home,Matchweek 24,Liverpool,Leicester City,90,0.0,0.0,90
214,Thiago Alcántara,Away,Matchweek 25,Liverpool,Burnley,32,0.0,0.0,35
215,Thiago Alcántara,Home,Matchweek 26,Liverpool,Norwich City,29,0.0,0.1,51
216,Thiago Alcántara,Home,Matchweek 19,Liverpool,Leeds United,67,0.0,0.1,62
217,Thiago Alcántara,Away,Matchweek 29,Liverpool,Brighton,26,0.0,0.2,19
218,Thiago Alcántara,Away,Matchweek 27,Liverpool,Arsenal,89,0.0,0.2,76
219,Thiago Alcántara,Home,Matchweek 31,Liverpool,Watford,89,0.1,0.1,99
220,Thiago Alcántara,Away,Matchweek 32,Liverpool,Manchester City,90,0.0,0.0,62
221,Thiago Alcántara,Home,Matchweek 30,Liverpool,Manchester Utd,79,0.0,0.2,120
222,Thiago Alcántara,Home,Matchweek 34,Liverpool,Everton,90,0.1,0.0,129
223,Thiago Alcántara,Away,Matchweek 35,Liverpool,Newcastle Utd,13,0.0,0.0,11
224,Thiago Alcántara,Home,Matchweek 36,Liverpool,Tottenham,90,0.1,0.1,118
225,Thiago Alcántara,Away,Matchweek 33,Liverpool,Aston Villa,29,0.0,0.0,26
226,Thiago Alcántara,Away,Matchweek 37,Liverpool,Southampton,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
227,Thiago Alcántara,Home,Matchweek 38,Liverpool,Wolves,45,0.0,0.3,51
228,Trent Alexander-Arnold,Away,Matchweek 1,Liverpool,Norwich City,90,0.1,0.2,68
229,Trent Alexander-Arnold,Home,Matchweek 2,Liverpool,Burnley,90,0.0,1.2,96
230,Trent Alexander-Arnold,Home,Matchweek 3,Liverpool,Chelsea,90,0.1,0.4,108
231,Trent Alexander-Arnold,Away,Matchweek 4,Liverpool,Leeds United,90,0.2,0.6,73
232,Trent Alexander-Arnold,Away,Matchweek 6,Liverpool,Brentford,90,0.2,0.0,115
233,Trent Alexander-Arnold,Away,Matchweek 8,Liverpool,Watford,64,0.1,0.0,92
234,Trent Alexander-Arnold,Away,Matchweek 9,Liverpool,Manchester Utd,90,0.0,0.9,112
235,Trent Alexander-Arnold,Home,Matchweek 10,Liverpool,Brighton,90,0.0,0.0,107
236,Trent Alexander-Arnold,Away,Matchweek 11,Liverpool,West Ham,90,0.1,0.4,94
237,Trent Alexander-Arnold,Home,Matchweek 12,Liverpool,Arsenal,90,0.4,1.0,71
238,Trent Alexander-Arnold,Home,Matchweek 13,Liverpool,Southampton,90,0.0,0.1,102
239,Trent Alexander-Arnold,Away,Matchweek 14,Liverpool,Everton,90,0.1,0.3,89
240,Trent Alexander-Arnold,Away,Matchweek 15,Liverpool,Wolves,90,0.2,0.3,87
241,Trent Alexander-Arnold,Home,Matchweek 16,Liverpool,Aston Villa,90,0.2,0.2,95
242,Trent Alexander-Arnold,Home,Matchweek 17,Liverpool,Newcastle Utd,90,0.0,0.2,111
243,Trent Alexander-Arnold,Away,Matchweek 18,Liverpool,Tottenham,90,0.1,0.9,93
244,Trent Alexander-Arnold,Away,Matchweek 20,Liverpool,Leicester City,90,0.0,0.2,115
245,Trent Alexander-Arnold,Away,Matchweek 21,Liverpool,Chelsea,90,0.0,0.2,74
246,Trent Alexander-Arnold,Home,Matchweek 22,Liverpool,Brentford,90,0.1,0.4,113
247,Trent Alexander-Arnold,Away,Matchweek 23,Liverpool,Crystal Palace,89,0.0,0.0,88
248,Trent Alexander-Arnold,Home,Matchweek 24,Liverpool,Leicester City,90,0.1,0.2,105
249,Trent Alexander-Arnold,Away,Matchweek 25,Liverpool,Burnley,90,0.0,0.2,98
250,Trent Alexander-Arnold,Home,Matchweek 19,Liverpool,Leeds United,90,0.0,0.5,56
251,Trent Alexander-Arnold,Home,Matchweek 28,Liverpool,West Ham,90,0.1,0.7,115
252,Trent Alexander-Arnold,Away,Matchweek 29,Liverpool,Brighton,90,0.0,0.2,70
253,Trent Alexander-Arnold,Away,Matchweek 27,Liverpool,Arsenal,90,0.0,0.3,67
